Fulton County,fulton-county-ga,1406,Georgia,13121,1050114
Gilmer County,gilmer-county-ga,1406,Georgia,13123,30816
Glascock County,glascock-county-ga,1406,Georgia,13125,2995
Glynn County,glynn-county-ga,1406,Georgia,13127,85219
Gordon County,gordon-county-ga,1406,Georgia,13129,57685
Grady County,grady-county-ga,1406,Georgia,13131,24748
Greene County,greene-county-ga,1406,Georgia,13133,17698
Gwinnett County,gwinnett-county-ga,1406,Georgia,13135,927781
Habersham County,habersham-county-ga,1406,Georgia,13137,45388
Hall County,hall-county-ga,1406,Georgia,13139,202148
Hancock County,hancock-county-ga,1406,Georgia,13141,8348
Haralson County,haralson-county-ga,1406,Georgia,13143,29533
Harris County,harris-county-ga,1406,Georgia,13145,34475
Hart County,hart-county-ga,1406,Georgia,13147,26099
Heard County,heard-county-ga,1406,Georgia,13149,11879
Henry County,henry-county-ga,1406,Georgia,13151,230220
Houston County,houston-county-ga,1406,Georgia,13153,155469
Irwin County,irwin-county-ga,1406,Georgia,13155,9398
Jackson County,jackson-county-ga,1406,Georgia,13157,70422
Jasper County,jasper-county-ga,1406,Georgia,13159,14040
Jeff Davis County,jeff-davis-county-ga,1406,Georgia,13161,15029
Jefferson County,jefferson-county-ga,1406,Georgia,13163,15430
Jenkins County,jenkins-county-ga,1406,Georgia,13165,8683
Johnson County,johnson-county-ga,1406,Georgia,13167,9708
Jones County,jones-county-ga,1406,Georgia,13169,28616
Lamar County,lamar-county-ga,1406,Georgia,13171,19000
Lanier County,lanier-county-ga,1406,Georgia,13173,10340
Laurens County,laurens-county-ga,1406,Georgia,13175,47325
Lee County,lee-county-ga,1406,Georgia,13177,29764
Liberty County,liberty-county-ga,1406,Georgia,13179,61497
Lincoln County,lincoln-county-ga,1406,Georgia,13181,7915
Long County,long-county-ga,1406,Georgia,13183,18998
Lowndes County,lowndes-county-ga,1406,Georgia,13185,116321
