term_id,GEOID,county_name,state_name,slug,state_id,state_term_id,census_2018_pop,pop_density_land,area_total,area_land,area_water,housing_units,pop_density_housing
1783,"0500000US08111","San Juan County","Colorado","san-juan-county-co","CO",1401,762,1.8,388.27,".79,387.49,756,2
1784,"0500000US08113","San Miguel County","Colorado","san-miguel-county-co","CO",1401,8191,5.7,1288.62,2.01,1286.61,6638,5.2
1785,"0500000US08115","Sedgwick County","Colorado","sedgwick-county-co","CO",1401,2303,4.3,549.4,1.36,548.04,1415,2.6
1786,"0500000US08117","Summit County","Colorado","summit-county-co","CO",1401,31007,46,619.28,10.92,608.36,29842,49.1
1787,"0500000US08119","Teller County","Colorado","teller-county-co","CO",1401,25083,41.9,558.96,1.91,557.06,12643,22.7
1788,"0500000US08121","Washington County","Colorado","washington-county-co","CO",1401,4909,1.9,2523.9,5.87,2518.03,2434,1
1789,"0500000US08123","Weld County","Colorado","weld-county-co","CO",1401,314305,63.4,4016.8,29.56,3987.24,96281,24.1
1790,"0500000US08125","Yuma County","Colorado","yuma-county-co","CO",1401,10020,4.2,2368.7,4.3,2364.4,4466,1.9
1791,"0500000US09001","Fairfield County","Connecticut","fairfield-county-ct","CT",1402,943823,1467.2,836.92,212.03,624.89,361221,578.1
1792,"0500000US09003","Hartford County","Connecticut","hartford-county-ct","CT",1402,892697,1216.2,750.62,15.53,735.1,374249,509.1
1793,"0500000US09005","Litchfield County","Connecticut","litchfield-county-ct","CT",1402,181111,206.3,944.56,24,920.56,87550,95.1
1794,"0500000US09007","Middlesex County","Connecticut","middlesex-county-ct","CT",1402,162682,448.6,439.06,69.76,369.3,74837,202.6
1795,"0500000US09009","New Haven County","Connecticut","new-haven-county-ct","CT",1402,857620,1426.7,862.06,257.55,604.51,362004,598.8
1796,"0500000US09011","New London County","Connecticut","new-london-county-ct","CT",1402,266784,412.2,771.7,106.82,664.88,120994,182
1797,"0500000US09013","Tolland County","Connecticut","tolland-county-ct","CT",1402,150921,372.2,417.05,6.83,410.21,57963,141.3
1798,"0500000US09015","Windham County","Connecticut","windham-county-ct","CT",1402,117027,230.9,521.44,8.53,512.91,49073,95.7
1799,"0500000US10001","Kent County","Delaware","kent-county-de","DE",1403,178550,276.9,798.33,212.15,586.18,65338,111.5
1800,"0500000US10003","New Castle County","Delaware","new-castle-county-de","DE",1403,559335,1263.2,494,67.72,426.29,217511,510.2
1801,"0500000US10005","Sussex County","Delaware","sussex-county-de","DE",1403,229286,210.6,1196.39,260.31,936.08,123036,131.4
1802,"0500000US11001","District of Columbia","District of Columbia","district-of-columbia-dc","DC",1404,702455,9856.5,68.34,7.29,61.05,296719,4860.4
1803,"0500000US12001","Alachua County","Florida","alachua-county-fl","FL",1405,269956,282.7,968.81,93.79,875.02,112766,128.9
1804,"0500000US12003","Baker County","Florida","baker-county-fl","FL",1405,28355,46.3,588.97,3.74,585.23,9687,16.6
1805,"0500000US12005","Bay County","Florida","bay-county-fl","FL",1405,185287,222.6,1033.15,274.69,758.46,99650,131.4
1806,"0500000US12007","Bradford County","Florida","bradford-county-fl","FL",1405,27732,97,300.49,6.53,293.96,11011,37.5
1807,"0500000US12009","Brevard County","Florida","brevard-county-fl","FL",1405,596849,535,1557,541.33,1015.66,269864,265.7
1808,"0500000US12011","Broward County","Florida","broward-county-fl","FL",1405,1951260,1444.9,1322.86,113.08,1209.79,810388,669.9
1809,"0500000US12013","Calhoun County","Florida","calhoun-county-fl","FL",1405,14587,25.8,574.31,6.98,567.33,5999,10.6
1810,"0500000US12015","Charlotte County","Florida","charlotte-county-fl","FL",1405,184998,235.2,858.3,178.02,680.28,100632,147.9
1811,"0500000US12017","Citrus County","Florida","citrus-county-fl","FL",1405,147929,242.8,773.29,191.6,581.7,78026,134.1
1812,"0500000US12019","Clay County","Florida","clay-county-fl","FL",1405,216072,315.8,643.55,39.19,604.36,75478,124.9
1813,"0500000US12021","Collier County","Florida","collier-county-fl","FL",1405,378488,160.9,2305.02,306.69,1998.32,197298,98.7
1814,"0500000US12023","Columbia County","Florida","columbia-county-fl","FL",1405,70503,84.7,801.33,3.75,797.57,28636,35.9
1815,"0500000US12027","DeSoto County","Florida","desoto-county-fl","FL",1405,37489,54.7,639.48,2.42,637.06,14590,22.9
1816,"0500000US12029","Dixie County","Florida","dixie-county-fl","FL",1405,16700,23.3,863.65,158.6,705.05,9319,13.2
1817,"0500000US12031","Duval County","Florida","duval-county-fl","FL",1405,950181,1133.9,918.45,156.26,762.19,388486,509.7
1818,"0500000US12033","Escambia County","Florida","escambia-county-fl","FL",1405,315534,453.4,874.7,218.24,656.46,136703,208.2
1819,"0500000US12035","Flagler County","Florida","flagler-county-fl","FL",1405,112067,197.1,570.82,85.36,485.46,48595,100.1
1820,"0500000US12037","Franklin County","Florida","franklin-county-fl","FL",1405,11736,21.6,1026.49,491.77,534.72,8652,16.2
1821,"0500000US12039","Gadsden County","Florida","gadsden-county-fl","FL",1405,45894,89.8,528.53,12.2,516.33,19506,37.8
1822,"0500000US12041","Gilchrist County","Florida","gilchrist-county-fl","FL",1405,18256,48.4,355.24,5.56,349.68,7307,20.9
1823,"0500000US12043","Glades County","Florida","glades-county-fl","FL",1405,13724,16,986.85,180.84,806.01,6979,8.7
1824,"0500000US12045","Gulf County","Florida","gulf-county-fl","FL",1405,16164,28.1,755.56,191.55,564.01,9110,16.2
1825,"0500000US12047","Hamilton County","Florida","hamilton-county-fl","FL",1405,14310,28.8,519.06,5.27,513.79,5778,11.2
1826,"0500000US12049","Hardee County","Florida","hardee-county-fl","FL",1405,27245,43.5,638.34,".56,637.78,9722,15.2
